state_code,average_income,murder,rape,robbery,aggrevated_assult,burglery,larceny,auto_theft,arson
NJ,73014.09524,388,1034,11368,12889,42331,122204,16444,828
CT,71184.125,109,876,3636,5212,13447,52794,6154,324
DC,70848,88,236,4037,3505,3519,23575,3663,51
MD,69200.375,373,1237,10173,16301,33470,113740,14494,1367
AK,66142.95455,21,439,591,2351,1781,13346,1223,136
MA,65974.42857,122,1623,6471,18402,33968,97570,9085,613
RI,65783.4,35,292,715,1615,5929,18475,2629,182
HI,64879,21,279,1125,1953,7653,31901,3865,312
NH,60648.9,15,421,458,1410,4926,22379,927,307
DE,58067.66667,56,249,1498,3245,7390,21882,1438,226
LA,41476.88889,487,1106,5325,15021,40611,108090,7655,568
GA,40704.91195,583,2118,12384,22126,85888,220545,28373,1213
NM,40225.25,107,805,1731,7778,19088,43006,4940,348
TN,40168.03158,397,2042,8147,30530,56151,148484,12939,1213
SC,39756.69565,333,1709,4489,19815,45044,121839,13438,811
WV,39411.81818,70,398,794,4289,11109,28461,2194,329
KY,39137.3,181,1289,3462,4723,29283,74992,6619,696
AL,37973.13433,341,1283,4988,14857,46928,109949,9757,1025
AR,36626.48,173,1219,2302,10032,32300,70327,5652,564
MS,34938.92683,188,665,2003,3396,22202,42606,3542,351
